TYPE,CONTEXT,MOD,X,FUNC,METH_TO
func,ext,imap,php_imap,imap_alerts,
func,ext,imap,php_imap,imap_errors,
func,ext,imap,php_imap,imap_last_error,
func,ext,imap,php_imap,imap_search,
func,ext,imap,php_imap,imap_utf7_decode,
func,ext,imap,php_imap,imap_utf7_encode,
func,ext,imap,php_imap,imap_utf8_to_mutf7,
func,ext,imap,php_imap,imap_mutf7_to_utf8,
func,ext,imap,php_imap,imap_mime_header_decode,
func,ext,imap,php_imap,imap_thread,
func,ext,imap,php_imap,imap_timeout,
func,ext,imap,php_imap,imap_get_quota,
func,ext,imap,php_imap,imap_get_quotaroot,
func,ext,imap,php_imap,imap_set_quota,
func,ext,imap,php_imap,imap_setacl,
func,ext,imap,php_imap,imap_getacl,
func,ext,imap,php_imap,imap_mail,
func,ext,calendar,calendar,jdtogregorian,
func,ext,calendar,calendar,gregoriantojd,
func,ext,calendar,calendar,jdtojulian,
func,ext,calendar,calendar,juliantojd,
func,ext,calendar,calendar,jdtojewish,
func,ext,calendar,calendar,jewishtojd,
func,ext,calendar,calendar,jdtofrench,
func,ext,calendar,calendar,frenchtojd,
func,ext,calendar,calendar,jddayofweek,
func,ext,calendar,calendar,jdmonthname,
func,ext,calendar,calendar,easter_date,
func,ext,calendar,calendar,easter_days,
func,ext,calendar,calendar,unixtojd,
func,ext,calendar,calendar,jdtounix,
func,ext,calendar,calendar,cal_to_jd,
func,ext,calendar,calendar,cal_from_jd,
func,ext,calendar,calendar,cal_days_in_month,
func,ext,calendar,calendar,cal_info,
func,ext,pspell,pspell,pspell_new,
func,ext,pspell,pspell,pspell_new_personal,
func,ext,pspell,pspell,pspell_new_config,
func,ext,pspell,pspell,pspell_check,
func,ext,pspell,pspell,pspell_suggest,
func,ext,pspell,pspell,pspell_store_replacement,
func,ext,pspell,pspell,pspell_add_to_personal,
func,ext,pspell,pspell,pspell_add_to_session,
func,ext,pspell,pspell,pspell_clear_session,
func,ext,pspell,pspell,pspell_save_wordlist,
func,ext,pspell,pspell,pspell_config_create,
func,ext,pspell,pspell,pspell_config_runtogether,
func,ext,pspell,pspell,pspell_config_mode,
func,ext,pspell,pspell,pspell_config_ignore,
func,ext,pspell,pspell,pspell_config_personal,
func,ext,pspell,pspell,pspell_config_dict_dir,
func,ext,pspell,pspell,pspell_config_data_dir,
func,ext,pspell,pspell,pspell_config_repl,
func,ext,pspell,pspell,pspell_config_save_repl,
func,ext,snmp,snmp,snmpget,
func,ext,snmp,snmp,snmpgetnext,
func,ext,snmp,snmp,snmpwalk,
func,ext,snmp,snmp,snmprealwalk,
func,ext,snmp,snmp,snmpset,
func,ext,snmp,snmp,snmp_get_quick_print,
func,ext,snmp,snmp,snmp_set_quick_print,
func,ext,snmp,snmp,snmp_set_enum_print,
func,ext,snmp,snmp,snmp_set_oid_output_format,
func,ext,snmp,snmp,snmp2_get,
func,ext,snmp,snmp,snmp2_getnext,
func,ext,snmp,snmp,snmp2_walk,
func,ext,snmp,snmp,snmp2_real_walk,
func,ext,snmp,snmp,snmp2_set,
func,ext,snmp,snmp,snmp3_get,
func,ext,snmp,snmp,snmp3_getnext,
func,ext,snmp,snmp,snmp3_walk,
func,ext,snmp,snmp,snmp3_real_walk,
func,ext,snmp,snmp,snmp3_set,
func,ext,snmp,snmp,snmp_set_valueretrieval,
func,ext,snmp,snmp,snmp_get_valueretrieval,
func,ext,snmp,snmp,snmp_read_mib,
func,ext,libxml,libxml,libxml_set_streams_context,
func,ext,libxml,libxml,libxml_use_internal_errors,
func,ext,libxml,libxml,libxml_get_last_error,
func,ext,libxml,libxml,libxml_clear_errors,
func,ext,libxml,libxml,libxml_get_errors,
func,ext,libxml,libxml,libxml_disable_entity_loader,
func,ext,libxml,libxml,libxml_set_external_entity_loader,
func,ext,sysvshm,sysvshm,shm_attach,
func,ext,sysvshm,sysvshm,shm_remove,
func,ext,sysvshm,sysvshm,shm_detach,
func,ext,sysvshm,sysvshm,shm_put_var,
func,ext,sysvshm,sysvshm,shm_has_var,
func,ext,sysvshm,sysvshm,shm_get_var,
func,ext,sysvshm,sysvshm,shm_remove_var,
func,ext,sockets,sockets,socket_select,
func,ext,sockets,sockets,socket_create,
func,ext,sockets,sockets,socket_create_listen,
func,ext,sockets,sockets,socket_create_pair,
func,ext,sockets,sockets,socket_accept,
func,ext,sockets,sockets,socket_set_nonblock,
func,ext,sockets,sockets,socket_set_block,
func,ext,sockets,sockets,socket_listen,
func,ext,sockets,sockets,socket_close,
func,ext,sockets,sockets,socket_write,
func,ext,sockets,sockets,socket_read,
func,ext,sockets,sockets,socket_getsockname,
func,ext,sockets,sockets,socket_getpeername,
func,ext,sockets,sockets,socket_connect,
func,ext,sockets,sockets,socket_strerror,
func,ext,sockets,sockets,socket_bind,
func,ext,sockets,sockets,socket_recv,
func,ext,sockets,sockets,socket_send,
func,ext,sockets,sockets,socket_recvfrom,
func,ext,sockets,sockets,socket_sendto,
func,ext,sockets,sockets,socket_get_option,
func,ext,sockets,sockets,socket_set_option,
func,ext,sockets,sockets,socket_shutdown,
func,ext,sockets,sockets,socket_last_error,
func,ext,sockets,sockets,socket_clear_error,
func,ext,sockets,sockets,socket_import_stream,
func,ext,sockets,sockets,socket_export_stream,
func,ext,sockets,sockets,socket_sendmsg,
func,ext,sockets,sockets,socket_recvmsg,
func,ext,sockets,sockets,socket_cmsg_space,
func,ext,sockets,sockets,socket_addrinfo_lookup,
func,ext,sockets,sockets,socket_addrinfo_connect,
func,ext,sockets,sockets,socket_addrinfo_bind,
func,ext,sockets,sockets,socket_addrinfo_explain,
func,ext,sockets,sockets,socket_wsaprotocol_info_export,
func,ext,sockets,sockets,socket_wsaprotocol_info_import,
func,ext,sockets,sockets,socket_wsaprotocol_info_release,
func,ext,wddx,wddx,wddx_serialize_value,
func,ext,wddx,wddx,wddx_serialize_vars,
func,ext,wddx,wddx,wddx_packet_start,
func,ext,wddx,wddx,wddx_packet_end,
func,ext,wddx,wddx,wddx_add_vars,
func,ext,wddx,wddx,wddx_deserialize,
func,ext,iconv,iconv,iconv_get_encoding,
func,ext,iconv,iconv,iconv_set_encoding,
func,ext,iconv,iconv,iconv_strlen,
func,ext,iconv,iconv,iconv_substr,
func,ext,iconv,iconv,iconv_strpos,
func,ext,iconv,iconv,iconv_strrpos,
func,ext,iconv,iconv,iconv_mime_encode,
func,ext,iconv,iconv,iconv_mime_decode,
func,ext,iconv,iconv,iconv_mime_decode_headers,
func,ext,sysvmsg,sysvmsg,msg_get_queue,
func,ext,sysvmsg,sysvmsg,msg_send,
func,ext,sysvmsg,sysvmsg,msg_receive,
func,ext,sysvmsg,sysvmsg,msg_remove_queue,
func,ext,sysvmsg,sysvmsg,msg_stat_queue,
func,ext,sysvmsg,sysvmsg,msg_set_queue,
func,ext,sysvmsg,sysvmsg,msg_queue_exists,
func,ext,intl,php_intl, collator_create,
func,ext,intl,php_intl, collator_compare,
func,ext,intl,php_intl, collator_get_attribute,
func,ext,intl,php_intl, collator_set_attribute,
func,ext,intl,php_intl, collator_get_strength,
func,ext,intl,php_intl, collator_set_strength,
func,ext,intl,php_intl, collator_sort,
func,ext,intl,php_intl, collator_sort_with_sort_keys,
func,ext,intl,php_intl, collator_asort,
func,ext,intl,php_intl, collator_get_locale,
func,ext,intl,php_intl, collator_get_error_code,
func,ext,intl,php_intl, collator_get_error_message,
func,ext,intl,php_intl, collator_get_sort_key,
func,ext,intl,php_intl, numfmt_create,
func,ext,intl,php_intl, numfmt_format,
func,ext,intl,php_intl, numfmt_parse,
func,ext,intl,php_intl, numfmt_format_currency,
func,ext,intl,php_intl, numfmt_parse_currency,
func,ext,intl,php_intl, numfmt_set_attribute,
func,ext,intl,php_intl, numfmt_get_attribute,
func,ext,intl,php_intl, numfmt_set_text_attribute,
func,ext,intl,php_intl, numfmt_get_text_attribute,
func,ext,intl,php_intl, numfmt_set_symbol,
func,ext,intl,php_intl, numfmt_get_symbol,
func,ext,intl,php_intl, numfmt_set_pattern,
func,ext,intl,php_intl, numfmt_get_pattern,
func,ext,intl,php_intl, numfmt_get_locale,
func,ext,intl,php_intl, numfmt_get_error_code,
func,ext,intl,php_intl, numfmt_get_error_message,
func,ext,intl,php_intl, normalizer_normalize,
func,ext,intl,php_intl, normalizer_is_normalized,
func,ext,intl,php_intl, normalizer_get_raw_decomposition,
func,ext,intl,php_intl, locale_get_primary_language,
func,ext,intl,php_intl, locale_get_script,
func,ext,intl,php_intl, locale_get_region,
func,ext,intl,php_intl, locale_get_keywords,
func,ext,intl,php_intl, locale_get_display_script,
func,ext,intl,php_intl, locale_get_display_region,
func,ext,intl,php_intl, locale_get_display_name,
func,ext,intl,php_intl, locale_get_display_language,
func,ext,intl,php_intl, locale_get_display_variant,
func,ext,intl,php_intl, locale_compose,
func,ext,intl,php_intl, locale_parse,
func,ext,intl,php_intl, locale_get_all_variants,
func,ext,intl,php_intl, locale_filter_matches,
func,ext,intl,php_intl, locale_canonicalize,
func,ext,intl,php_intl, locale_lookup,
func,ext,intl,php_intl, locale_accept_from_http,
func,ext,intl,php_intl, msgfmt_create,
func,ext,intl,php_intl, msgfmt_format,
func,ext,intl,php_intl, msgfmt_format_message,
func,ext,intl,php_intl, msgfmt_parse,
func,ext,intl,php_intl, msgfmt_parse_message,
func,ext,intl,php_intl, msgfmt_set_pattern,
func,ext,intl,php_intl, msgfmt_get_pattern,
func,ext,intl,php_intl, msgfmt_get_locale,
func,ext,intl,php_intl, msgfmt_get_error_code,
func,ext,intl,php_intl, msgfmt_get_error_message,
func,ext,intl,php_intl, datefmt_create,
func,ext,intl,php_intl, datefmt_get_datetype,
func,ext,intl,php_intl, datefmt_get_timetype,
func,ext,intl,php_intl, datefmt_get_calendar,
func,ext,intl,php_intl, datefmt_get_calendar_object,
func,ext,intl,php_intl, datefmt_set_calendar,
func,ext,intl,php_intl, datefmt_get_locale,
func,ext,intl,php_intl, datefmt_get_timezone_id,
func,ext,intl,php_intl, datefmt_get_timezone,
func,ext,intl,php_intl, datefmt_set_timezone,
func,ext,intl,php_intl, datefmt_get_pattern,
func,ext,intl,php_intl, datefmt_set_pattern,
func,ext,intl,php_intl, datefmt_is_lenient,
func,ext,intl,php_intl, datefmt_set_lenient,
func,ext,intl,php_intl, datefmt_format,
func,ext,intl,php_intl, datefmt_format_object,
func,ext,intl,php_intl, datefmt_parse,
func,ext,intl,php_intl, datefmt_localtime ,
func,ext,intl,php_intl, datefmt_get_error_code,
func,ext,intl,php_intl, datefmt_get_error_message,
func,ext,intl,php_intl, grapheme_strlen,
func,ext,intl,php_intl, grapheme_strpos,
func,ext,intl,php_intl, grapheme_stripos,
func,ext,intl,php_intl, grapheme_strrpos,
func,ext,intl,php_intl, grapheme_strripos,
func,ext,intl,php_intl, grapheme_substr,
func,ext,intl,php_intl, grapheme_strstr,
func,ext,intl,php_intl, grapheme_stristr,
func,ext,intl,php_intl, grapheme_extract,
func,ext,intl,php_intl, idn_to_ascii,
func,ext,intl,php_intl, idn_to_utf8,
func,ext,intl,php_intl, resourcebundle_create,
func,ext,intl,php_intl, resourcebundle_get,
func,ext,intl,php_intl, resourcebundle_count,
func,ext,intl,php_intl, resourcebundle_locales,
func,ext,intl,php_intl, resourcebundle_get_error_code,
func,ext,intl,php_intl, resourcebundle_get_error_message,
func,ext,intl,php_intl, transliterator_create,
func,ext,intl,php_intl, transliterator_create_from_rules,
func,ext,intl,php_intl, transliterator_list_ids,
func,ext,intl,php_intl, transliterator_create_inverse,
func,ext,intl,php_intl, transliterator_transliterate,
func,ext,intl,php_intl, transliterator_get_error_code,
func,ext,intl,php_intl, transliterator_get_error_message,
func,ext,intl,php_intl, intltz_create_time_zone,
func,ext,intl,php_intl, intltz_from_date_time_zone,
func,ext,intl,php_intl, intltz_create_default,
func,ext,intl,php_intl, intltz_get_id,
func,ext,intl,php_intl, intltz_get_gmt,
func,ext,intl,php_intl, intltz_get_unknown,
func,ext,intl,php_intl, intltz_create_enumeration,
func,ext,intl,php_intl, intltz_count_equivalent_ids,
func,ext,intl,php_intl, intltz_create_time_zone_id_enumeration,
func,ext,intl,php_intl, intltz_get_canonical_id,
func,ext,intl,php_intl, intltz_get_region,
func,ext,intl,php_intl, intltz_get_tz_data_version,
func,ext,intl,php_intl, intltz_get_equivalent_id,
func,ext,intl,php_intl, intltz_use_daylight_time,
func,ext,intl,php_intl, intltz_get_offset,
func,ext,intl,php_intl, intltz_get_raw_offset,
func,ext,intl,php_intl, intltz_has_same_rules,
func,ext,intl,php_intl, intltz_get_display_name,
func,ext,intl,php_intl, intltz_get_dst_savings,
func,ext,intl,php_intl, intltz_to_date_time_zone,
func,ext,intl,php_intl, intltz_get_error_code,
func,ext,intl,php_intl, intltz_get_error_message,
func,ext,intl,php_intl, intlcal_create_instance,
func,ext,intl,php_intl, intlcal_get_keyword_values_for_locale,
func,ext,intl,php_intl, intlcal_get_now,
func,ext,intl,php_intl, intlcal_get_available_locales,
func,ext,intl,php_intl, intlcal_get,
func,ext,intl,php_intl, intlcal_get_time,
func,ext,intl,php_intl, intlcal_set_time,
func,ext,intl,php_intl, intlcal_add,
func,ext,intl,php_intl, intlcal_set_time_zone,
func,ext,intl,php_intl, intlcal_after,
func,ext,intl,php_intl, intlcal_before,
func,ext,intl,php_intl, intlcal_set,
func,ext,intl,php_intl, intlcal_roll,
func,ext,intl,php_intl, intlcal_clear,
func,ext,intl,php_intl, intlcal_field_difference,
func,ext,intl,php_intl, intlcal_get_actual_maximum,
func,ext,intl,php_intl, intlcal_get_actual_minimum,
func,ext,intl,php_intl, intlcal_get_day_of_week_type,
func,ext,intl,php_intl, intlcal_get_first_day_of_week,
func,ext,intl,php_intl, intlcal_get_greatest_minimum,
func,ext,intl,php_intl, intlcal_get_least_maximum,
func,ext,intl,php_intl, intlcal_get_locale,
func,ext,intl,php_intl, intlcal_get_maximum,
func,ext,intl,php_intl, intlcal_get_minimal_days_in_first_week,
func,ext,intl,php_intl, intlcal_get_minimum,
func,ext,intl,php_intl, intlcal_get_time_zone,
func,ext,intl,php_intl, intlcal_get_type,
func,ext,intl,php_intl, intlcal_get_weekend_transition,
func,ext,intl,php_intl, intlcal_in_daylight_time,
func,ext,intl,php_intl, intlcal_is_equivalent_to,
func,ext,intl,php_intl, intlcal_is_lenient,
func,ext,intl,php_intl, intlcal_is_set,
func,ext,intl,php_intl, intlcal_is_weekend,
func,ext,intl,php_intl, intlcal_set_first_day_of_week,
func,ext,intl,php_intl, intlcal_set_lenient,
func,ext,intl,php_intl, intlcal_set_minimal_days_in_first_week,
func,ext,intl,php_intl, intlcal_equals,
func,ext,intl,php_intl, intlcal_from_date_time,
func,ext,intl,php_intl, intlcal_to_date_time,
func,ext,intl,php_intl, intlcal_get_repeated_wall_time_option,
func,ext,intl,php_intl, intlcal_get_skipped_wall_time_option,
func,ext,intl,php_intl, intlcal_set_repeated_wall_time_option,
func,ext,intl,php_intl, intlcal_set_skipped_wall_time_option,
func,ext,intl,php_intl, intlcal_get_error_code,
func,ext,intl,php_intl, intlcal_get_error_message,
func,ext,intl,php_intl, intlgregcal_create_instance,
func,ext,intl,php_intl, intlgregcal_set_gregorian_change,
func,ext,intl,php_intl, intlgregcal_get_gregorian_change,
func,ext,intl,php_intl, intlgregcal_is_leap_year,
func,ext,intl,php_intl, intl_get_error_code,
func,ext,intl,php_intl, intl_get_error_message,
func,ext,intl,php_intl, intl_is_failure,
func,ext,intl,php_intl, intl_error_name,
func,ext,hash,hash,hash,
func,ext,hash,hash,hash_file,
func,ext,hash,hash,hash_hmac,
func,ext,hash,hash,hash_hmac_file,
func,ext,hash,hash,hash_init,
func,ext,hash,hash,hash_update,
func,ext,hash,hash,hash_update_stream,
func,ext,hash,hash,hash_update_file,
func,ext,hash,hash,hash_final,
func,ext,hash,hash,hash_copy,
func,ext,hash,hash,hash_algos,
func,ext,hash,hash,hash_hmac_algos,
func,ext,hash,hash,hash_pbkdf2,
func,ext,hash,hash,hash_equals,
func,ext,hash,hash,hash_hkdf,
func,ext,hash,hash,mhash_keygen_s2k,
func,ext,hash,hash,mhash_get_block_size,
func,ext,hash,hash,mhash_get_hash_name,
func,ext,hash,hash,mhash_count,
func,ext,hash,hash,mhash,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_open_uri,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_open_memory,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_set_indent,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_set_indent_string,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_comment,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_end_comment,
func,ext,xmlwriter,php_xmlwriter,xmlwriter_start_attribute,
